,powerPlay,AverageScore,battingTeam,bowlingTeam,city,delivery_left,score,CurrentRunRate,wicketsLeft,Run_In_Last5,Wickets_In_Last5,Final_Score,innings
130897,0,141.33333333333334,New Zealand,South Africa,London,14,100,5.660377358490566,6,26.0,2.0,127,2
101516,0,128.3953488372093,Pakistan,South Africa,Dubai,77,50,6.976744186046512,7,37.0,3.0,144,2
33399,0,169.58823529411765,New Zealand,Sri Lanka,Pallekele,5,136,7.095652173913043,5,44.0,1.0,142,1
173855,0,121.5,New Zealand,West Indies,Dominica,45,88,7.04,6,36.0,2.0,126,2
11619,0,138.1627906976744,Pakistan,West Indies,Dubai,44,88,6.947368421052632,7,34.0,2.0,160,1
9176,1,138.1627906976744,West Indies,South Africa,Dubai,85,42,7.2,10,39.0,0.0,143,1
47715,0,166.2,Bangladesh,West Indies,Sylhet,28,102,6.652173913043478,5,28.0,0.0,129,1
66106,0,191.25,Australia,India,Mumbai,55,86,7.938461538461538,8,32.0,1.0,166,1
160255,0,172.0,Bangladesh,South Africa,Bloemfontein,8,160,8.571428571428571,1,36.0,3.0,175,2
35844,0,168.44444444444446,England,Australia,Southampton,30,110,7.333333333333333,6,41.0,2.0,145,1
82702,1,177.33333333333334,Pakistan,South Africa,Centurion,87,47,8.545454545454545,9,46.0,1.0,168,1
9442,0,138.1627906976744,Afghanistan,Ireland,Dubai,67,46,5.2075471698113205,8,30.0,0.0,139,1
171346,0,122.5,West Indies,Zimbabwe,Antigua,47,84,6.904109589041096,8,30.0,0.0,131,2
24312,0,178.75,England,New Zealand,Hamilton,52,108,9.529411764705882,8,53.0,0.0,194,1
119355,0,135.609756097561,Pakistan,South Africa,Colombo,9,123,6.648648648648648,3,51.0,1.0,136,2
77001,0,156.0,England,Afghanistan,Delhi,63,57,6.0,4,21.0,5.0,142,1
175263,0,130.0,Netherlands,Afghanistan,Edinburgh,22,109,6.673469387755103,2,20.0,5.0,130,2
82458,1,177.33333333333334,South Africa,England,Centurion,86,68,12.0,10,66.0,0.0,241,1
169297,0,151.0,Australia,England,Birmingham,74,68,8.869565217391305,7,44.0,2.0,193,2
8121,0,138.1627906976744,Pakistan,Australia,Dubai,52,78,6.88235294117647,9,28.0,1.0,176,1
82380,0,177.33333333333334,India,South Africa,Centurion,41,107,8.126582278481013,6,48.0,1.0,188,1
590,0,159.2,West Indies,New Zealand,Lauderhill,21,132,8.0,6,46.0,2.0,177,1
39506,0,172.66666666666666,South Africa,West Indies,St George's,76,79,10.772727272727273,9,50.0,1.0,166,1
47595,0,166.2,Sri Lanka,Bangladesh,Sylhet,23,158,9.773195876288659,8,55.0,1.0,210,1
104169,0,149.27586206896552,Pakistan,India,Johannesburg,3,152,7.794871794871795,1,55.0,3.0,152,2
172991,0,147.0,England,South Africa,Paarl,65,55,6.0,7,29.0,2.0,147,2
168867,0,151.0,India,England,Birmingham,72,71,8.875,9,53.0,0.0,177,2
56011,0,155.71428571428572,Afghanistan,West Indies,Nagpur,53,54,4.835820895522389,6,21.0,2.0,123,1
1764,1,154.0,Afghanistan,India,St Lucia,86,29,5.117647058823529,7,26.0,3.0,115,1
21029,0,157.21428571428572,Pakistan,Zimbabwe,Harare,2,136,6.915254237288135,4,45.0,1.0,136,1
65766,0,191.25,India,West Indies,Mumbai,23,137,8.474226804123711,8,43.0,1.0,192,1
26208,0,177.6,South Africa,India,Chandigarh,3,140,7.17948717948718,5,33.0,2.0,149,1
81114,0,131.66666666666666,South Africa,Australia,Port Elizabeth,78,62,8.857142857142858,9,44.0,1.0,158,1
90216,0,171.0,Ireland,Zimbabwe,Derry,10,152,8.290909090909091,4,61.0,3.0,171,1
104706,0,149.27586206896552,South Africa,India,Johannesburg,56,84,7.875,7,43.0,1.0,175,2
138492,0,128.66666666666666,Sri Lanka,India,Pune,46,101,8.18918918918919,5,57.0,1.0,123,2
129202,0,131.0,Australia,Sri Lanka,Melbourne,20,136,8.16,7,46.0,1.0,145,2
173630,0,172.0,Zimbabwe,Ireland,Derry,40,144,10.799999999999999,8,52.0,0.0,172,2
135111,0,153.6,Bangladesh,Sri Lanka,Sylhet,61,78,7.932203389830508,5,43.0,2.0,135,2
131382,0,141.33333333333334,India,England,London,15,122,6.9714285714285715,5,48.0,2.0,150,2
44684,0,139.66666666666666,Zimbabwe,Pakistan,Rawalpindi,60,66,6.6,5,24.0,2.0,134,1
153118,0,148.54545454545453,Pakistan,Sri Lanka,Lahore,38,106,7.75609756097561,5,45.0,0.0,147,2
172075,0,131.5,Australia,New Zealand,Dharamsala,76,53,7.2272727272727275,8,29.0,2.0,134,2
23772,1,157.21428571428572,Pakistan,Zimbabwe,Harare,88,34,6.375,9,33.0,1.0,149,1
44458,0,152.8,England,Pakistan,London,41,128,9.721518987341772,8,44.0,0.0,185,1
12769,0,138.1627906976744,Pakistan,England,Dubai,11,127,6.990825688073394,5,46.0,0.0,144,1
50672,0,168.66666666666666,New Zealand,Sri Lanka,Auckland,22,114,6.979591836734694,4,46.0,1.0,179,1
28959,0,153.14285714285714,Sri Lanka,Australia,Colombo,36,85,6.071428571428571,4,27.0,2.0,128,1
164883,0,154.25,Australia,South Africa,Centurion,41,82,6.227848101265823,6,25.0,2.0,139,2
85210,0,171.66666666666666,West Indies,Australia,Gros Islet,67,41,4.641509433962264,7,24.0,2.0,145,1
35348,0,168.44444444444446,South Africa,England,Southampton,32,91,6.204545454545455,7,31.0,0.0,142,1
129563,0,141.33333333333334,Ireland,Pakistan,London,71,48,5.877551020408164,8,27.0,1.0,120,2
91017,0,134.5,Pakistan,Sri Lanka,King City,71,55,6.734693877551021,7,37.0,2.0,132,1
3844,0,160.83333333333334,West Indies,England,Nottingham,0,172,8.459016393442623,6,65.0,0.0,172,1
149779,0,132.1764705882353,West Indies,England,Barbados,78,44,6.285714285714286,7,38.0,1.0,160,2
86661,1,169.6,Pakistan,Australia,Birmingham,87,41,7.454545454545454,9,41.0,0.0,162,1
3451,0,154.71428571428572,India,Pakistan,Bengaluru,18,121,7.117647058823529,5,32.0,4.0,133,1
134910,0,153.6,Zimbabwe,Netherlands,Sylhet,53,73,6.537313432835822,9,36.0,0.0,146,2
56890,0,159.33333333333334,England,India,Bristol,42,132,10.153846153846153,8,38.0,1.0,198,1
136905,0,149.95833333333334,New Zealand,Sri Lanka,Auckland,77,96,13.395348837209301,9,73.0,1.0,147,2
